initial_mesh,status,elapsed_s,bvp_success,bvp_tol_final,bvp_n_nodes_final,bvp_max_rms_residual_final,bvp_bc_l2_residual_final,T_out,t_out,fs_out,fl_out,x_out,y_out,w_out,rhob_out,p_bottom,equation_converged,abs_diff_T_out,rel_diff_T_out,abs_diff_t_out,rel_diff_t_out,abs_diff_fs_out,rel_diff_fs_out,abs_diff_fl_out,rel_diff_fl_out,abs_diff_x_out,rel_diff_x_out,abs_diff_y_out,rel_diff_y_out,abs_diff_w_out,rel_diff_w_out,abs_diff_rhob_out,rel_diff_rhob_out,abs_diff_p_bottom,rel_diff_p_bottom,abs_diff_outlet_max,rel_diff_outlet_max,solution_stable_vs_ref
2000,success,1909.4151327998843,True,0.001,4033,0.00026346368412282184,4.915607908092569e-21,634.4167940943564,1622.0353138193263,0.9056357820020852,0.9983894438706847,0.1609076820580151,0.23690030013030552,0.047731399172107086,1031.47875097962,32805.64767634035,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
1500,success,1933.5414885999635,True,0.001,3090,0.00020717760079581215,2.6899017836306204e-23,634.416793606085,1622.035315285514,0.9056357844322132,0.998389441313257,0.16090768110422426,0.236900301020571,0.047731399233255735,1031.478750544325,32805.64770844577,True,4.88271439280652e-07,7.696382627727721e-10,1.4661875411547953e-06,9.039183849224811e-10,2.430127987729236e-09,2.683339192226882e-09,2.557427714044991e-09,2.561553239315137e-09,9.537908240986326e-10,5.927565495317646e-09,8.902654724529668e-10,3.75797528311818e-09,6.114864864459335e-11,1.2810990187844093e-09,4.352948508312693e-07,4.2201048777578737e-10,3.210542490705848e-05,9.786554200608917e-10,3.210542490705848e-05,5.927565495317646e-09,True
1000,success,1170.2303249000106,True,0.001,2022,0.00010764621651903814,3.7910311659828583e-22,634.4167932380801,1622.0353168176907,0.9056357803961234,0.9983894151959113,0.1609076818533005,0.23690029996130668,0.04773139932668851,1031.4787520442505,32805.647653981745,True,8.562763014197117e-07,1.3497062331744614e-09,2.9983643798914272e-06,1.8485197913671354e-09,1.6059618079822258e-09,1.7732976544190126e-09,2.867477344459246e-08,2.872103027594363e-08,2.0471457862214493e-10,1.2722486335259948e-09,1.6899884269783172e-10,7.133753845177696e-10,1.545814240500043e-10,3.2385688819350057e-09,1.0646306236594683e-06,1.0321401411792178e-09,2.235860301880166e-05,6.815473737751209e-10,2.235860301880166e-05,2.872103027594363e-08,True
800,success,1031.3514680999797,True,0.001,1627,0.0005722075114840412,7.24460180495491e-24,634.416794549485,1622.0353199892181,0.9056357746781837,0.9983893746033569,0.16090768335030667,0.23690029805530327,0.04773139918438562,1031.4787541920025,32805.64758551766,True,4.551285428533447e-07,7.173967446795769e-10,6.169891776153236e-06,3.803796208126503e-09,7.323901485278839e-09,8.087027512415555e-09,6.92673278734901e-08,6.937906675469806e-08,1.2922915793023293e-09,8.031260924114207e-09,2.075002253354441e-09,8.7589684445866e-09,1.227853235752363e-11,2.572422466236621e-10,3.2123825803864747e-06,3.114346831997846e-09,9.082268661586568e-05,2.768507651850678e-09,9.082268661586568e-05,6.937906675469806e-08,True
600,success,708.2310142000206,True,0.001,1213,0.0004536618326066476,4.65948752078996e-21,634.416791451601,1622.0353391726082,0.9056357803438885,0.9983892371176232,0.1609076783317768,0.2369003012210384,0.047731399634512874,1031.478756459367,32805.64772344138,True,2.6427554757901817e-06,4.165645519461337e-09,2.5353281898787827e-05,1.563053632851538e-08,1.6581966910678148e-09,1.8309752375309712e-09,2.0675306156014983e-07,2.0708658613074167e-07,3.726238290147066e-09,2.3157615860773973e-08,1.0907328651388326e-09,4.604185239693161e-09,4.624057872715248e-10,9.687664625212622e-09,5.479747187564499e-06,5.3125158248390986e-09,4.710103530669585e-05,1.4357599572913e-09,4.710103530669585e-05,2.0708658613074167e-07,True
500,success,2146.210791300051,True,0.001,2453,0.0005169676041425908,4.605816610078861e-24,634.4167931983643,1622.035316959503,0.9056357876130533,0.9983894330559543,0.16090767982766005,0.23690030212520835,0.04773139917380325,1031.478750118903,32805.64773319889,True,8.959921160567319e-07,1.4123083190692955e-09,3.1401766591443447e-06,1.9359483929793898e-09,5.610968134561745e-09,6.195612238462576e-09,1.0814730444508314e-08,1.0832176272397647e-08,2.230355039545273e-09,1.38610848843197e-08,1.994902826263356e-09,8.420853942211438e-09,1.6961640425527946e-12,3.5535602810151563e-11,8.60716909301118e-07,8.344494818566788e-10,5.68585455766879e-05,1.7331938127743372e-09,5.68585455766879e-05,1.38610848843197e-08,True
400,success,480.605259800097,True,0.001,814,0.0007776878517576513,1.2963787820642984e-20,634.4167894269522,1622.0354083964082,0.9056357355378896,0.9983885595333786,0.1609076808987417,0.23690029046969782,0.04773139993155951,1031.4787825392157,32805.64719115232,True,4.667404255087604e-06,7.356999843849379e-09,9.45770818816527e-05,5.8307658949148723e-08,4.646419560216941e-08,5.130560930294871e-08,8.843373061617754e-07,8.857638786055897e-07,1.159273399498062e-09,7.204587031960893e-09,9.660607702688395e-09,4.077921259438945e-08,7.594524245591039e-10,1.591096087128548e-08,3.155959575451561e-05,3.059645748838036e-08,0.0004851880294154398,1.4789771389435504e-08,0.0004851880294154398,8.857638786055897e-07,True
350,success,408.11009179987013,True,0.001,580,0.0007758832213795729,1.7718337166568957e-20,634.4167815152056,1622.035606274624,0.9056357178981282,0.9983865322379263,0.16090765990698105,0.23690028940630647,0.04773140062874489,1031.478833255714,32805.64628985449,True,1.257915084806882e-05,1.982789699952037e-08,0.00029245529754007293,1.8030143674951374e-07,6.410395692046933e-08,7.078337472350639e-08,2.911632758451077e-06,2.9163296710779356e-06,2.2151034034800787e-08,1.3766299875486525e-07,1.0723999049888633e-08,4.526798422792189e-08,1.4566378034319705e-09,3.051739166873594e-08,8.227609419009241e-05,7.976518577038338e-08,0.0013864858556189574,4.226363305788047e-08,0.0013864858556189574,2.9163296710779356e-06,True
300,success,310.2565055999439,True,0.001,481,0.0007802112525075326,2.0418016383690088e-20,634.416757274043,1622.0358916411571,0.9056356326176116,0.9983841329317636,0.16090763345410894,0.2369002838218935,0.047731405388903095,1031.4789124434913,32805.64491412059,True,3.6820313425778295e-05,5.803804969939373e-08,0.0005778218308023497,3.5623258376649103e-07,1.4938447356893647e-07,1.6494983583653558e-07,5.3109389210881375e-06,5.319506284539634e-06,4.8603906149802256e-08,3.02060818527472e-07,1.6308412037480124e-08,6.884082472039834e-08,6.216796008540193e-09,1.3024541740593092e-07,0.00016146387133630924,1.5653630400331869e-07,0.0027622197594610043,8.419951914112447e-08,0.0027622197594610043,5.319506284539634e-06,True
250,success,318.4107517001685,True,0.001,518,0.0009620175579749143,1.2793101908326337e-22,634.4167573090821,1622.0357918717662,0.9056356512823532,0.9983852964657751,0.16090764412261085,0.23690028580809394,0.04773140375431301,1031.478881460622,32805.645713303384,True,3.678527434658463e-05,5.798281932163602e-08,0.0004780524398029229,2.9472381749647387e-07,1.307197319277975e-07,1.443402905733428e-07,4.147404909615737e-06,4.1540953132843075e-06,3.7935404234579195e-08,2.357588136836228e-07,1.432221158337299e-08,6.045670510123941e-08,4.582205927194938e-09,9.599982415501142e-08,0.00013048100208834512,1.264989724358589e-07,0.001963036964298226,5.983838464844519e-08,0.001963036964298226,4.1540953132843075e-06,True
